Root,Expertise,MappedExpertise,Actors,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Vincent Aleven,
 ,Learning Environments and Platforms,Games and game making,Vincent Aleven,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Meng Jiang,
 ,Analytics,Data mining,Meng Jiang,
 ,Learning Environments and Platforms,Narrative and simulated environments,Wei Yan,
 ,AI Approaches and Technologies,Machine learning,Wei Yan,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Wei Yan,
 ,AI Approaches and Technologies,AI,Wei Yan,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Wei Yan,
 ,Equity and Social Justice,Social welfare development and responsibility,Yun Huang,
 ,Research Methods,HCI,Yun Huang,
 ,Research Methods,Crowdsourcing,Yun Huang,
 ,AI Approaches and Technologies,Pedagogical agents,Yun Huang,
 ,Learning Environments and Platforms,Mobile learning,Yun Huang,
 ,Learning Processes and Theories,Collaborative and/or participatory learning,Yun Huang,
 ,Research Methods,Human-AI Interaction,Yun Huang,
 ,Learning Environments and Platforms,Interactive Displays,Michael Horn,
 ,Research Methods,HCI,Michael Horn,
 ,Analytics,Data mining,Gregory Chung,
 ,Learning Environments and Platforms,Games and game making,Gregory Chung,
 ,Disciplinary Areas,Science education,Claire Christensen,
 ,Disciplinary Areas,Math education,Claire Christensen,
 ,Disciplinary Areas,Engineering education,Claire Christensen,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Devin Harris,
 ,Disciplinary Areas,Engineering education,Devin Harris,
 ,Analytics,Graphics,Devin Harris,
 ,Equity and Social Justice,Broadening participation of historically marginalized groups,Julie Washington,
 ,Disciplinary Areas,ELA education,Julie Washington,
 ,Equity and Social Justice,Cultural competence/responsiveness,Julie Washington,
 ,Other Domains,Medicine,Robin Morris,
 ,Other Domains,Brain function,Robin Morris,
 ,Equity and Social Justice,Inclusive/universal design,Robin Morris,
 ,Learning Processes and Theories,Neuroscience,Robin Morris,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Mari Ostendorf,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Abeer Alwan,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Diane Litman,
 ,AI Approaches and Technologies,AI,Diane Litman,
 ,Other Domains,Spoken language,Diane Litman,
 ,Research Methods,HCI,Diane Litman,
 ,Capacity Building,Instructional Design,Elaine Wang,
 ,Capacity Building,Policy,Elaine Wang,
 ,Capacity Building,Educator professional learning,Elaine Wang,
 ,Disciplinary Areas,ELA education,Elaine Wang,
 ,Capacity Building,Evaluation,Elaine Wang,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Richard Mayer,
 ,Learning Environments and Platforms,Online learning,Richard Mayer,
 ,Learning Processes and Theories,Media use,Richard Mayer,
 ,Research Methods,HCI,Nicoletta Adamo-Villani,
 ,AI Approaches and Technologies,Pedagogical agents,Nicoletta Adamo-Villani,
 ,Analytics,Data visualization representations and dashboards,Nicoletta Adamo-Villani,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Katharina Kann,
 ,AI Approaches and Technologies,Machine learning,Katharina Kann,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Joseph Polman,
 ,Disciplinary Areas,Science education,Joseph Polman,
 ,Disciplinary Areas,Social sciences education,Joseph Polman,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Zachary Alstad,
 ,Analytics,Graphics,Robert LiKamWa,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Robert LiKamWa,
 ,AI Approaches and Technologies,Computer vision technologies,Robert LiKamWa,
